            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,        Sensor,          Gain
1544570580,           2018-12-11 23:23:00,           2018-12-11 17:23:00,3.09,3.707,93.89725,10
1544571180,           2018-12-11 23:33:00,           2018-12-11 17:33:00,3.1,3.665,94.86318,10
1544571780,           2018-12-11 23:43:00,           2018-12-11 17:43:00,3.09,3.717,94.06383,10
1544572380,           2018-12-11 23:53:00,           2018-12-11 17:53:00,3.09,3.696,94.2126,10
1544572980,           2018-12-12 00:03:00,           2018-12-11 18:03:00,3.09,3.696,93.97471,10
1544573580,           2018-12-12 00:13:00,           2018-12-11 18:13:00,3.09,3.707,97.87409,10
1544574180,           2018-12-12 00:23:00,           2018-12-11 18:23:00,3.09,3.675,94.35245,10
1544574780,           2018-12-12 00:33:00,           2018-12-11 18:33:00,3.09,3.654,95.06816,10
1544575380,           2018-12-12 00:43:00,           2018-12-11 18:43:00,3.09,3.644,95.21898,10
1544575980,           2018-12-12 00:53:00,           2018-12-11 18:53:00,3.09,3.654,94.82136,10
1544576580,           2018-12-12 01:03:00,           2018-12-11 19:03:00,3.09,3.686,95.96691,10
1544577180,           2018-12-12 01:13:00,           2018-12-11 19:13:00,3.09,3.675,94.63146,10
1544577780,           2018-12-12 01:23:00,           2018-12-11 19:23:00,3.09,3.727,93.00398,10
1544578380,           2018-12-12 01:33:00,           2018-12-11 19:33:00,3.09,3.696,94.98383,10
1544578980,           2018-12-12 01:43:00,           2018-12-11 19:43:00,3.09,3.686,94.22356,10
1544579580,           2018-12-12 01:53:00,           2018-12-11 19:53:00,3.09,3.633,94.75692,10
1544580180,           2018-12-12 02:03:00,           2018-12-11 20:03:00,3.09,3.738,95.4692,10
1544580780,           2018-12-12 02:13:00,           2018-12-11 20:13:00,3.09,3.654,96.31516,10
1544581380,           2018-12-12 02:23:00,           2018-12-11 20:23:00,3.09,3.675,92.80928,10
1544581980,           2018-12-12 02:33:00,           2018-12-11 20:33:00,3.09,3.717,95.40887,10
