Serial Number:20472262 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2019-11-06 18:41:28,58.33,0, , , , 
2019-11-06 18:51:28,58.56,0, , , , 
2019-11-06 19:01:28,58.17,0, , , , 
2019-11-06 19:11:28,58.17,0, , , , 
2019-11-06 19:21:28,58.33,0, , , , 
2019-11-06 19:31:28,57.56,0, , , , 
2019-11-06 19:41:28,57.01,0, , , , 
2019-11-06 19:51:28,57.32,0, , , , 
2019-11-06 20:01:28,57.32,0, , , , 
2019-11-06 20:11:28,57.56,0, , , , 
2019-11-06 20:21:28,57.63,0, , , , 
2019-11-06 20:31:28,57.63,0, , , , 
2019-11-06 20:41:28,57.79,0, , , , 
2019-11-06 20:51:28,58.40,0, , , , 
2019-11-06 21:01:28,58.64,0, , , , 
2019-11-06 21:11:28,58.64,0, , , , 
2019-11-06 21:21:28,58.64,0, , , , 
2019-11-06 21:31:28,58.71,0, , , , 
2019-11-06 21:41:28,58.56,0, , , , 
2019-11-06 21:51:28,58.79,0, , , , 
2019-11-06 22:01:28,58.71,0, , , , 
2019-11-06 22:11:28,58.71,0, , , , 
2019-11-06 22:21:28,58.95,0, , , , 
2019-11-06 22:31:28,58.64,0, , , , 
2019-11-06 22:41:28,58.48,0, , , , 
2019-11-06 22:51:28,58.40,0, , , , 
2019-11-06 23:01:28,58.48,0, , , , 
2019-11-06 23:11:28,58.56,0, , , , 
2019-11-06 23:21:28,58.71,0, , , , 
2019-11-06 23:31:28,58.71,0, , , , 
2019-11-06 23:41:28,58.64,0, , , , 
2019-11-06 23:51:28,58.64,0, , , , 
2019-11-07 00:01:28,58.79,0, , , , 
2019-11-07 00:11:28,58.71,0, , , , 
2019-11-07 00:21:28,58.71,0, , , , 
2019-11-07 00:31:28,58.64,0, , , , 
2019-11-07 00:41:28,58.79,0, , , , 
2019-11-07 00:51:28,58.56,0, , , , 
2019-11-07 01:01:28,58.71,0, , , , 
2019-11-07 01:11:28,58.56,0, , , , 
2019-11-07 01:21:28,58.48,0, , , , 
2019-11-07 01:31:28,58.40,0, , , , 
2019-11-07 01:41:28,58.64,0, , , , 
2019-11-07 01:51:28,58.40,0, , , , 
2019-11-07 02:01:28,58.33,0, , , , 
2019-11-07 02:11:28,58.40,0, , , , 
2019-11-07 02:21:28,58.25,0, , , , 
2019-11-07 02:31:28,58.33,0, , , , 
2019-11-07 02:41:28,58.40,0, , , , 
2019-11-07 02:51:28,58.64,0, , , , 
2019-11-07 03:01:28,58.64,0, , , , 
2019-11-07 03:11:28,58.64,0, , , , 
2019-11-07 03:21:28,58.48,0, , , , 
2019-11-07 03:31:28,58.48,0, , , , 
2019-11-07 03:41:28,58.33,0, , , , 
2019-11-07 03:51:28,58.33,0, , , , 
2019-11-07 04:01:28,58.33,0, , , , 
2019-11-07 04:11:28,58.17,0, , , , 
2019-11-07 04:21:28,58.33,0, , , , 
2019-11-07 04:31:28,57.94,0, , , , 
2019-11-07 04:41:28,57.94,0, , , , 
2019-11-07 04:51:28,57.79,0, , , , 
2019-11-07 05:01:28,58.17,0, , , , 
2019-11-07 05:11:28,58.33,0, , , , 
2019-11-07 05:21:28,57.94,0, , , , 
2019-11-07 05:31:28,57.63,0, , , , 
2019-11-07 05:41:28,57.56,0, , , , 
2019-11-07 05:51:28,57.71,0, , , , 
2019-11-07 06:01:28,57.86,0, , , , 
2019-11-07 06:11:28,58.02,0, , , , 
2019-11-07 06:21:28,58.10,0, , , , 
2019-11-07 06:31:28,57.94,0, , , , 
2019-11-07 06:41:28,57.86,0, , , , 
2019-11-07 06:51:28,57.63,0, , , , 
2019-11-07 07:01:28,57.94,0, , , , 
2019-11-07 07:11:28,57.94,0, , , , 
2019-11-07 07:21:28,58.33,0, , , , 
2019-11-07 07:31:28,58.10,0, , , , 
2019-11-07 07:41:28,58.25,0, , , , 
2019-11-07 07:51:28,58.10,0, , , , 
2019-11-07 08:01:28,57.71,0, , , , 
2019-11-07 08:11:28,58.02,0, , , , 
2019-11-07 08:21:28,58.25,0, , , , 
2019-11-07 08:31:28,58.10,0, , , , 
2019-11-07 08:41:28,58.02,0, , , , 
2019-11-07 08:51:28,58.25,14, , , , 
2019-11-07 09:01:28,57.94,14, , , , 
2019-11-07 09:11:28,57.86,14, , , , 
2019-11-07 09:21:28,57.94,14, , , , 
2019-11-07 09:31:28,57.86,14, , , , 
2019-11-07 09:41:28,57.94,14, , , , 
2019-11-07 09:51:28,58.64,14, , , , 
2019-11-07 10:01:28,58.25,14, , , , 
2019-11-07 10:11:28,51.69,14, , , , 
2019-11-07 10:21:28,54.78,14, , , , 
2019-11-07 10:31:28,56.24,14, , , , 
2019-11-07 10:41:28,57.56,14, , , , 
2019-11-07 10:51:28,58.25,14, , , , 
2019-11-07 11:01:28,57.86,14, , , , 
2019-11-07 11:11:28,57.86,14, , , , 
2019-11-07 11:21:28,57.94,14, , , , 
2019-11-07 11:31:28,57.79,14, , , , 
2019-11-07 11:41:28,57.94,14, , , , 
