Serial Number:20472265 --

"Date Time, GMT -0500","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2020-05-24 07:45:51,66.13,494, , , , 
2020-05-24 07:55:51,66.05,312, , , , 
2020-05-24 08:05:51,66.13,396, , , , 
2020-05-24 08:15:51,66.28,494, , , , 
2020-05-24 08:25:51,66.44,487, , , , 
2020-05-24 08:35:51,66.44,481, , , , 
2020-05-24 08:45:51,66.51,512, , , , 
2020-05-24 08:55:51,66.51,568, , , , 
2020-05-24 09:05:51,66.98,"1,086", , , , 
2020-05-24 09:15:51,67.36,"1,727", , , , 
2020-05-24 09:25:51,67.59,"1,914", , , , 
2020-05-24 09:35:51,67.52,"1,909", , , , 
2020-05-24 09:45:51,67.98,"1,936", , , , 
2020-05-24 09:55:51,68.29,"2,054", , , , 
2020-05-24 10:05:51,68.44,"1,398", , , , 
2020-05-24 10:15:51,68.75,"1,976", , , , 
2020-05-24 10:25:51,69.06,"2,500", , , , 
2020-05-24 10:35:51,69.29,"2,482", , , , 
2020-05-24 10:45:51,68.44,"1,459", , , , 
2020-05-24 10:55:51,68.06,"1,014", , , , 
2020-05-24 11:05:51,68.44,"1,193", , , , 
2020-05-24 11:15:51,69.60,644, , , , 
2020-05-24 11:25:51,69.83,859, , , , 
2020-05-24 11:35:51,69.99,"1,368", , , , 
2020-05-24 11:45:51,71.61,"2,728", , , , 
2020-05-24 11:55:51,71.22,"2,532", , , , 
2020-05-24 12:05:51,70.30,"1,161", , , , 
2020-05-24 12:15:51,71.07,"2,015", , , , 
2020-05-24 12:25:51,71.53,"2,561", , , , 
2020-05-24 12:35:51,72.23,"1,457", , , , 
2020-05-24 12:45:51,73.08,"2,428", , , , 
2020-05-24 12:55:51,72.15,"1,976", , , , 
2020-05-24 13:05:51,72.38,"3,002", , , , 
2020-05-24 13:15:51,71.61,"3,314", , , , 
2020-05-24 13:25:51,72.46,"1,612", , , , 
2020-05-24 13:35:51,73.08,"1,243", , , , 
2020-05-24 13:45:51,74.31,"4,309", , , , 
2020-05-24 13:55:51,75.70,"3,887", , , , 
2020-05-24 14:05:51,75.32,"4,009", , , , 
2020-05-24 14:15:51,75.32,"3,782", , , , 
2020-05-24 14:25:51,75.39,"4,020", , , , 
2020-05-24 14:35:51,77.01,"3,593", , , , 
2020-05-24 14:45:51,75.08,"1,495", , , , 
2020-05-24 14:55:51,77.01,"3,640", , , , 
2020-05-24 15:05:51,77.17,"3,822", , , , 
2020-05-24 15:15:51,75.78,"3,453", , , , 
2020-05-24 15:25:51,75.16,"1,361", , , , 
2020-05-24 15:35:51,75.24,"1,372", , , , 
2020-05-24 15:45:51,75.93,"1,221", , , , 
2020-05-24 15:55:51,76.32,"1,887", , , , 
2020-05-24 16:05:51,77.40,"1,219", , , , 
2020-05-24 16:15:51,76.55,"1,341", , , , 
2020-05-24 16:25:51,77.63,665, , , , 
2020-05-24 16:35:51,76.78,954, , , , 
2020-05-24 16:45:51,78.25,"2,441", , , , 
2020-05-24 16:55:51,77.17,"1,994", , , , 
2020-05-24 17:05:51,78.56,"2,146", , , , 
2020-05-24 17:15:51,78.87,776, , , , 
2020-05-24 17:25:51,78.56,"1,306", , , , 
2020-05-24 17:35:51,79.10,"1,554", , , , 
